Allocation Subcategory,City,College,Gift Allocation,Gift Amount,Gift Date,Major,Prospect ID,State,Year,Month,Quarter,Weekday,Weekend,Donation Category
Diversity Fund,Colorado Springs,College of Arts and Sciences,Endowment,11490.0,2015-01-14,Apparel and Textile Design,3149,CO,2015,January,1,Wednesday,No,VIP
In-State Scholarship Fund,Los Angeles,College of Natural Science,Scholarship,13610.0,2015-08-30,Biochemistry and Molecular Biology/Biotechnology,3150,CA,2015,August,3,Sunday,Yes,VIP
College of Agriculture and Natural Resources,Tallahassee,College of Natural Science,Scholarship,14400.0,2015-07-03,"Mathematics, Advanced",3151,FL,2015,July,3,Friday,No,VIP
College of Agriculture and Natural Resources,Denver,College of Natural Science,Scholarship,1329.0,2015-11-20,Biochemistry and Molecular Biology/Biotechnology,3152,CO,2015,November,4,Friday,No,Premium
College of Natural Science,St. Louis,College of Agriculture and Natural Resources,Scholarship,13292.0,2015-03-06,Agriculture and Natural Resources-No Preference,3153,MO,2015,March,1,Friday,No,VIP
Alumni Association,Denver,College of Social Science,Campus Resource,20578.5,2015-02-27,Criminal Justice,3154,CO,2015,February,1,Friday,No,VIP
Parents Association,Tallahassee,College of Natural Science,Campus Resource,8682.0,2015-03-26,Genomics & Molecular Genetics,3155,FL,2015,March,1,Thursday,No,VIP
College of Veterinary Medicine,Baton Rouge,College of Natural Science,Scholarship,3095.0,2015-06-29,Zoology,3156,LA,2015,June,2,Monday,No,Premium
Diversity Fund,San Diego,College of Arts and Sciences,Endowment,10621.0,2015-05-24,Professional Writing,3157,CA,2015,May,2,Sunday,Yes,VIP
University Annual Fund,Springfield,College of Engineering,Endowment,15159.0,2015-03-10,Applied Engineering Sciences,3158,IL,2015,March,1,Tuesday,No,VIP
Trustees Fund,Phoenix,College of Communication Arts and Sciences,Endowment,11573.0,2015-09-17,Media and Information,3159,AZ,2015,September,3,Thursday,No,VIP
Alumni Association,San Francisco,College of Social Science,Campus Resource,13663.0,2015-12-21,Political Science-Prelaw,3160,CA,2015,December,4,Monday,No,VIP
Diversity Fund,Jacksonville,College of Social Science,Endowment,12688.0,2015-01-31,Global & Area Studies - Soc Sci,3161,FL,2015,January,1,Saturday,Yes,VIP
College of Social Science,Miami,College of Social Science,Scholarship,12593.0,2015-08-08,Geography,3162,FL,2015,August,3,Saturday,Yes,VIP
Faculty Chair Endowments,Phoenix,College of Arts and Sciences,Endowment,6365.0,2015-10-16,Interdisciplinary Humanities,3163,AZ,2015,October,4,Friday,No,VIP
Athletics,Phoenix,College of Engineering,Campus Resource,11182.0,2015-08-30,Computer Science,3164,AZ,2015,August,3,Sunday,Yes,VIP
College of Natural Science,Overland Park,College of Agriculture and Natural Resources,Scholarship,7275.0,2015-11-09,Environmental Studies and Agriscience,3165,KS,2015,November,4,Monday,No,VIP
College of Natural Science,Austin,College of Agriculture and Natural Resources,Scholarship,5901.0,2015-02-11,Agriculture and Natural Resources-No Preference,3166,TX,2015,February,1,Wednesday,No,VIP
In-State Scholarship Fund,Winston-salem,College of Agriculture and Natural Resources,Scholarship,15249.0,2015-11-29,Fisheries and Wildlife,3167,NC,2015,November,4,Sunday,Yes,VIP
Alumni Association,Charlotte,College of Political Science,Campus Resource,981.0,2015-03-19,Social Relations and Policy,3168,NC,2015,March,1,Thursday,No,Large
Faculty Chair Endowments,Boston,College of Agriculture and Natural Resources,Endowment,2021.0,2015-07-08,Agriculture and Natural Resources-No Preference,3169,MA,2015,July,3,Wednesday,No,Premium
Faculty Chair Endowments,San Diego,College of Social Science,Endowment,6684.0,2015-11-08,Interdisciplinary Studies in Social Science,3170,CA,2015,November,4,Sunday,Yes,VIP
College of Agriculture and Natural Resources,Orlando,College of Agriculture and Natural Resources,Scholarship,13280.0,2015-09-22,Animal Science,3171,FL,2015,September,3,Tuesday,No,VIP
College of Arts and Sciences,Sacramento,College of Agriculture and Natural Resources,Scholarship,4558.0,2015-06-18,Interior Design,3172,CA,2015,June,2,Thursday,No,Premium
College of Political Science,West Valley City,College of Natural Science,Scholarship,7416.0,2015-05-23,Biomedical Laboratory Science,3173,UT,2015,May,2,Saturday,Yes,VIP
Diversity Fund,San Francisco,College of Agriculture and Natural Resources,Endowment,6691.0,2015-11-02,Horticulture,3174,CA,2015,November,4,Monday,No,VIP
College of Social Science,El Paso,College of Business,Scholarship,11555.0,2015-06-11,Marketing,3175,TX,2015,June,2,Thursday,No,VIP
Faculty Chair Endowments,Kansas City,College of Business,Endowment,12361.0,2015-01-24,Finance,3176,MO,2015,January,1,Saturday,Yes,VIP
College of Social Science,Seattle,College of Natural Science,Scholarship,3547.0,2015-08-22,Biomedical Laboratory Science,3177,WA,2015,August,3,Saturday,Yes,Premium
Trustees Fund,San Diego,College of Natural Science,Endowment,9649.0,2015-01-31,Microbiology,3178,CA,2015,January,1,Saturday,Yes,VIP
University Annual Fund,Springfield,College of Natural Science,Endowment,2734.0,2015-03-27,Environmental Geosciences,3179,AR,2015,March,1,Friday,No,Premium
College of Arts and Sciences,Phoenix,College of Social Science,Scholarship,1467.0,2015-11-01,Political Science,3180,AZ,2015,November,4,Sunday,Yes,Premium
Trustees Fund,Spokane,College of Agriculture and Natural Resources,Endowment,3230.0,2015-12-03,Agribusiness Management,3181,WA,2015,December,4,Thursday,No,Premium
College of Arts and Sciences,New York,College of Arts and Sciences,Scholarship,13617.0,2015-10-19,Apparel and Textiles,3182,NY,2015,October,4,Monday,No,VIP
Alumni Association,Indianapolis,College of Natural Science,Campus Resource,13683.0,2015-01-24,Biological Science Interdepartmental,3183,IN,2015,January,1,Saturday,Yes,VIP
College of Arts and Sciences,Knoxville,College of Social Science,Scholarship,7181.0,2015-09-28,History,3184,TN,2015,September,3,Monday,No,VIP
Trustees Fund,Orlando,College of Music,Endowment,7385.0,2015-07-15,Composition,3185,FL,2015,July,3,Wednesday,No,VIP
College of Arts and Sciences,Alexandria,College of Natural Science,Scholarship,10843.0,2015-07-01,Environmental Biology/Microbiology,3186,VA,2015,July,3,Wednesday,No,VIP
College of Agriculture and Natural Resources,Charleston,College of Agriculture and Natural Resources,Scholarship,13063.0,2015-12-22,Environmental Studies and Agriscience,3187,SC,2015,December,4,Tuesday,No,VIP
Trustees Fund,San Francisco,College of Arts and Sciences,Endowment,13753.0,2015-12-12,Arabic,3188,CA,2015,December,4,Saturday,Yes,VIP
Diversity Fund,San Diego,College of Social Science,Endowment,2049.0,2015-10-15,Interdisciplinary Studies in Social Science - Social Science Education,3189,CA,2015,October,4,Thursday,No,Premium
University Annual Fund,Phoenix,College of Agriculture and Natural Resources,Endowment,8465.0,2015-06-26,Entomology,3190,AZ,2015,June,2,Friday,No,VIP
College of Business,Denver,College of Arts and Sciences,Scholarship,11098.5,2015-06-16,Art Education,3191,CO,2015,June,2,Tuesday,No,VIP
College of Business,Boston,College of Business,Scholarship,11999.0,2015-01-09,Finance,3192,MA,2015,January,1,Friday,No,VIP
Athletics,Orlando,College of Natural Science,Campus Resource,3606.0,2015-10-18,Plant Biology,3193,FL,2015,October,4,Sunday,Yes,Premium
Campus Recreation,Spokane,College of Agriculture and Natural Resources,Campus Resource,15069.0,2015-08-04,Fisheries and Wildlife,3194,WA,2015,August,3,Tuesday,No,VIP
Trustees Fund,Alexandria,College of Engineering,Endowment,9569.0,2015-08-16,Mechanical Engineering,3195,VA,2015,August,3,Sunday,Yes,VIP
Diversity Fund,Savannah,College of Arts and Sciences,Endowment,728.0,2015-12-08,Theatre,3196,GA,2015,December,4,Tuesday,No,Large
Faculty Chair Endowments,Chicago,College of Political Science,Endowment,1995.0,2015-12-19,College of Political Science,3197,IL,2015,December,4,Saturday,Yes,Premium
Diversity Fund,San Francisco,College of Arts and Sciences,Endowment,9577.0,2015-05-02,Art Education,3198,CA,2015,May,2,Saturday,Yes,VIP
College of Social Science,Richmond,College of Music,Scholarship,12246.0,2015-06-04,Jazz Studies,3199,VA,2015,June,2,Thursday,No,VIP
College of Natural Science,Lansing,College of Arts and Sciences,Scholarship,6612.0,2015-08-14,Japanese,3200,MI,2015,August,3,Friday,No,VIP
College of Natural Science,Salem,College of Arts and Sciences,Scholarship,9512.0,2015-07-28,Apparel and Textile Design,3201,OR,2015,July,3,Tuesday,No,VIP
Diversity Fund,Tucson,College of Social Science,Endowment,1321.0,2015-09-09,Geographic Information Science,3202,AZ,2015,September,3,Wednesday,No,Premium
Campus Museums,Dallas,College of Natural Science,Campus Resource,12204.0,2015-08-26,Environmental Biology/Zoology,3203,TX,2015,August,3,Wednesday,No,VIP
College of Natural Science,Chicago,College of Arts and Sciences,Scholarship,10250.0,2015-04-16,Professional Writing,3204,IL,2015,April,2,Thursday,No,VIP
Honors Program,Los Angeles,College of Engineering,Campus Resource,4462.0,2015-04-11,Mechanical Engineering,3205,CA,2015,April,2,Saturday,Yes,Premium
College of Education,Chicago,College of Natural Science,Scholarship,14578.0,2015-12-25,Plant Biology,3206,IL,2015,December,4,Friday,No,VIP
Honors Program,Denver,College of Agriculture and Natural Resources,Campus Resource,10951.5,2015-03-22,Horticulture,3207,CO,2015,March,1,Sunday,Yes,VIP
College of Social Science,Denver,College of Social Science,Scholarship,8580.0,2015-07-28,History Education,3208,CO,2015,July,3,Tuesday,No,VIP
College of Natural Science,Cincinnati,College of Veterinary Medicine,Scholarship,13049.0,2015-04-18,Preveterinary,3209,OH,2015,April,2,Saturday,Yes,VIP
College of Education,Richmond,College of Engineering,Scholarship,11639.0,2015-09-15,Applied Engineering Sciences,3210,VA,2015,September,3,Tuesday,No,VIP
Trustees Fund,Phoenix,College of Natural Science,Endowment,6486.0,2015-02-18,Environmental Biology/Zoology,3211,AZ,2015,February,1,Wednesday,No,VIP
University Annual Fund,Orlando,College of Natural Science,Endowment,11421.0,2015-06-21,Environmental Biology/Plant Biol,3212,FL,2015,June,2,Sunday,Yes,VIP
University Libraries,Austin,College of Natural Science,Campus Resource,1885.0,2015-06-16,Biomedical Laboratory Science,3213,TX,2015,June,2,Tuesday,No,Premium
University Libraries,Dallas,College of Social Science,Campus Resource,1378.0,2015-02-16,Political Science-Prelaw,3214,TX,2015,February,1,Monday,No,Premium
College of Arts and Sciences,Kansas City,College of Social Science,Scholarship,3139.0,2015-07-16,World Politics,3215,MO,2015,July,3,Thursday,No,Premium
College of Communication Arts and Sciences,Denver,College of Natural Science,Scholarship,20353.5,2015-12-05,Statistics,3216,CO,2015,December,4,Saturday,Yes,VIP
University Annual Fund,Springfield,College of Nursing,Endowment,6076.0,2015-06-05,Nursing,3217,AR,2015,June,2,Friday,No,VIP
Trustees Fund,New York,College of Natural Science,Endowment,9613.0,2015-01-06,Biological Science Interdepartmental,3218,NY,2015,January,1,Tuesday,No,VIP
Campus Museums,Los Angeles,College of Agriculture and Natural Resources,Campus Resource,14552.0,2015-10-18,Natural Resource Recreation and Tourism,3219,CA,2015,October,4,Sunday,Yes,VIP
University Annual Fund,Philadelphia,College of Natural Science,Endowment,412.0,2015-11-26,Computational Mathematics,3220,PA,2015,November,4,Thursday,No,Medium
College of Communication Arts and Sciences,Winston-salem,College of Arts and Sciences,Scholarship,7579.0,2015-09-19,Chinese,3221,NC,2015,September,3,Saturday,Yes,VIP
College of Agriculture and Natural Resources,Omaha,College of Natural Science,Scholarship,2209.0,2015-07-20,Geological Sciences,3222,NE,2015,July,3,Monday,No,Premium
Faculty Chair Endowments,San Diego,College of Arts and Sciences,Endowment,1077.0,2015-09-11,Russian,3223,CA,2015,September,3,Friday,No,Premium
College of Communication Arts and Sciences,Los Angeles,College of Social Science,Scholarship,15125.0,2015-08-03,Anthropology,3224,CA,2015,August,3,Monday,No,VIP
College of Natural Science,Atlanta,College of Engineering,Scholarship,5096.0,2015-02-28,Mechanical Engineering,3225,GA,2015,February,1,Saturday,Yes,VIP
College of Natural Science,Louisville,College of Arts and Sciences,Scholarship,7420.0,2015-07-18,English,3226,KY,2015,July,3,Saturday,Yes,VIP
University Annual Fund,Houston,College of Social Science,Endowment,7169.0,2015-01-08,History,3227,TX,2015,January,1,Thursday,No,VIP
College of Natural Science,Washington,College of Agriculture and Natural Resources,Scholarship,478.0,2015-10-28,Environmental Studies and Agriscience,3228,DC,2015,October,4,Wednesday,No,Medium
Trustees Fund,Dallas,College of Arts and Sciences,Endowment,11634.0,2015-03-04,Arabic,3229,TX,2015,March,1,Wednesday,No,VIP
Campus Museums,Los Angeles,College of Natural Science,Campus Resource,4942.0,2015-04-25,Chemistry,3230,CA,2015,April,2,Saturday,Yes,Premium
Faculty Chair Endowments,New York,College of Agriculture and Natural Resources,Endowment,4672.0,2015-06-27,Environmental Studies and Agriscience,3231,NY,2015,June,2,Saturday,Yes,Premium
Campus Recreation,Pittsburgh,College of Natural Science,Campus Resource,43.0,2015-05-07,Environmental Biology/Zoology,3232,PA,2015,May,2,Thursday,No,Small
Alumni Association,Richmond,College of Agriculture and Natural Resources,Campus Resource,7628.0,2015-06-15,Agriculture and Natural Resources-No Preference,3233,VA,2015,June,2,Monday,No,VIP
College of Social Science,Dallas,College of Social Science,Scholarship,15357.0,2015-06-24,World Politics,3234,TX,2015,June,2,Wednesday,No,VIP
Trustees Fund,Phoenix,College of Arts and Sciences,Endowment,10275.0,2015-03-20,French,3235,AZ,2015,March,1,Friday,No,VIP
Diversity Fund,St. Paul,College of Natural Science,Endowment,1047.0,2015-10-23,Zoology,3236,MN,2015,October,4,Friday,No,Premium
University Libraries,Houston,College of Social Science,Campus Resource,15222.0,2015-08-15,Interdisciplinary Studies in Social Science,3237,TX,2015,August,3,Saturday,Yes,VIP
Diversity Fund,Providence,College of Agriculture and Natural Resources,Endowment,15293.0,2015-05-21,Entomology,3238,RI,2015,May,2,Thursday,No,VIP
University Annual Fund,Orlando,College of Arts and Sciences,Endowment,3459.0,2015-11-03,English,3239,FL,2015,November,4,Tuesday,No,Premium
Trustees Fund,Mesa,College of Social Science,Endowment,4065.0,2015-02-21,Interdisciplinary Studies in Social Science,3240,AZ,2015,February,1,Saturday,Yes,Premium
University Libraries,Reno,College of Social Science,Campus Resource,7392.0,2015-04-13,Sociology,3241,NV,2015,April,2,Monday,No,VIP
Faculty Chair Endowments,Minneapolis,College of Agriculture and Natural Resources,Endowment,9463.0,2015-02-02,Interior Design,3242,MN,2015,February,1,Monday,No,VIP
Parents Association,Knoxville,College of Arts and Sciences,Campus Resource,1316.0,2015-11-27,Spanish,3243,TN,2015,November,4,Friday,No,Premium
College of Social Science,Houston,College of Education,Scholarship,9124.0,2015-10-07,Special Education-Learning Disabilities,3244,TX,2015,October,4,Wednesday,No,VIP
Diversity Fund,Miami,College of Business,Endowment,3964.0,2015-07-22,Marketing,3245,FL,2015,July,3,Wednesday,No,Premium
College of Natural Science,Cincinnati,College of Communication Arts and Sciences,Scholarship,10830.0,2015-06-05,Advertising,3246,OH,2015,June,2,Friday,No,VIP
Alumni Association,San Francisco,College of Natural Science,Campus Resource,8333.0,2015-04-19,Human Biology,3247,CA,2015,April,2,Sunday,Yes,VIP
College of Music,Atlanta,College of Agriculture and Natural Resources,Scholarship,827.0,2015-06-14,Food Science,3248,GA,2015,June,2,Sunday,Yes,Large
Trustees Fund,Naperville,College of Natural Science,Endowment,8670.0,2015-07-03,Genomics & Molecular Genetics,3249,IL,2015,July,3,Friday,No,VIP
Parents Association,Phoenix,College of Natural Science,Campus Resource,7814.0,2015-05-24,Environmental Biology/Plant Biol,3250,AZ,2015,May,2,Sunday,Yes,VIP
Trustees Fund,Denver,College of Natural Science,Endowment,5088.0,2015-03-31,Environmental Biology/Plant Biol,3251,CO,2015,March,1,Tuesday,No,VIP
Campus Recreation,Huntsville,College of Social Science,Campus Resource,1248.0,2015-07-26,Public Policy,3252,AL,2015,July,3,Sunday,Yes,Premium
Trustees Fund,Houston,College of Natural Science,Endowment,4933.0,2015-09-04,Predental,3253,TX,2015,September,3,Friday,No,Premium
College of Arts and Sciences,Oklahoma City,College of Arts and Sciences,Scholarship,3752.0,2015-09-26,Apparel and Textile Design,3254,OK,2015,September,3,Saturday,Yes,Premium
College of Arts and Sciences,Philadelphia,College of Engineering,Scholarship,4111.0,2015-08-11,Materials Science and Engineering,3255,PA,2015,August,3,Tuesday,No,Premium
College of Arts and Sciences,Indianapolis,College of Natural Science,Scholarship,9776.0,2015-07-27,Biological Science Interdepartmental,3256,IN,2015,July,3,Monday,No,VIP
